,题干,A,B,C,D,答案
0,中国特色社会主义进入新时代，我国社会主要矛盾已经转化为(),人民日益增长的物质文化需要同落后的社会生产之间的矛盾,人民对于建立先进的工业国的要求同落后的农业国的现实之间的矛盾,人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾,人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾,D
1,当前我国社会主义所处的历史阶段是(),社会主义初级阶段,社会主义中级阶段,社会主义高级阶段,社会主义特殊阶段,A
2,习近平新时代中国特色社会主义思想的核心要义是(),坚持四项基本原则,以经济建设为中心,坚持和发展中国特色社会主义,坚持改革开放,C
3,实现社会主义现代化、创造人民美好生活的必经之路是(),中国特色社会主义制度,中国特色社会主义道路,中国特色社会主义文化,中国特色社会主义理论体系,B
4,解决我国一切问题的基础和关键(),创新,发展,改革,开放,B
5,中国特色社会主义的本质要求和重要保障是(),全面依法治国,全面深化改革,全面从严治党,全面建设小康社会,A
6,坚持和发展中国特色社会主义，总任务是（）,完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化,建设中国特色社会主义法治体系、建设社会主义法治国家,实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国,建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队,C
7,（）是贯彻习近平新时代中国特色社会主义思想的一根红线,人民立场,人民主体,人民至上,人民幸福,C
8,习近平新时代中国特色社会主义思想强调底线思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,破除迷信、超越陈规,客观设定最低目标，立足最低点争取最大期望值,D
9,习近平新时代中国特色社会主义思想强调法治思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,增强尊法学法守法用法意识，用法治方式治国理政,客观设定最低目标，立足最低点争取最大期望值,C
10,人民是中国梦的（    ），是中国梦的创造者和享有者。,主体,客体,组织者,参与者,A
11,全面建设社会主义现代化国家的进程分两个阶段来安排。第一个阶段，从（    ），在全面建成小康社会的基础上，再奋斗15年，基本实现社会主义现代化。,2000年到2020年,2018年到2035年,2035年到2050年,2020年到2035年,D
12,中华民族的昨天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,A
13,中华民族的今天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,B
14,中华民族的明天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,C
15,制定正确的发展战略和政策的依据是（    ）。,我国社会的经济总量,我国社会的发展目标,我国社会的具体国情,我国社会的社会性质,C
16,中国特色社会主义事业要紧紧依靠（    ）。,全国各族人民,精英分子,中国共产党,爱国统一战线,A
17,（   ）是中国特色社会主义事业的领导力量。,全国各族人民,精英分子,中国共产党,爱国统一战线,C
18,党的十三大提出基本实现我国社会主义现代化的发展战略是（   ）。,“三步走”发展战略,“四步走”发展战略,“五步走”发展战略,“全面小康”发展战略,A
19,习近平同志指出，实现中国梦必须走(    )道路。,中国特色社会主义,现代化,和平发展,改革开放,A
20,习近平同志指出，实现中国梦必须凝聚中国力量。所谓中国力量，就是(    )。,中国共产党领导的力量,中国各族人民大团结的力量,工人阶级团结的力量,全球华人合作的力量,B
21,中国梦是（    ）的形象表达。,实现共产主义,全面建成小康社会,中华民族崛起,中华民族伟大复兴,D
22,全面建设社会主义现代化国家的进程分两个阶段来安排。第二个阶段，从（    ），在基本实现现代化的基础上，把我国建成富强民主文明和谐美丽的社会主义现代化国家。,2000年到2020年,2018年到2035年,2035年到本世纪中叶,2020年到2035年,C
23,改革开放之后，党提出了“三步走”战略目标，目前已经走完了,第一步,第二步和第三步,第一步和第二步,第二步,C
24,习近平在（    ）首次提中国梦。,十九大报告中,十八大报告中,参观《复兴之路》展览时,十七大报告中,C
25,（    ）是国家富强、民族振兴的根本出发点和落脚点。,人民幸福,人民满意,社会和谐,共同富裕,A
26,中国梦归根结底是（     ）的梦,共产主义,党,人民,民族,C
27,（）是引领发展的第一动力。,创新,协调,绿色,开放、共享,A
28,坚持（）发展，是应对发展环境变化、增强发展动力、把握发展主动权，更好引领新常态的根本之策。,创新,协调,绿色,开放、共享,A
29,坚持创新发展，就是把创新摆在国家发展全局的（）位置。,重要,次要,核心,非核心,C
30,（）是持续健康发展的内在要求。,创新,协调,绿色,开放、共享,B
31,（）是永续发展的必要条件和人民对美好生活追求的重要体现。,创新,协调,绿色,开放、共享,C
32,（）发展，就是要解决好人与自然和谐共生问题，推进美丽中国建设。,创新,协调,绿色,开放、共享,C
33,（）是国家繁荣发展的必由之路。,创新、协调,绿色,开放,共享,C
34,（）是中国特色社会主义的本质要求。,创新、协调,绿色,开放,共享,D
