,题干,A,B,C,D,E,F,答案
0,进入21世纪以来，（）成为不可阻挡的时代潮流。,和平,发展,合作,共赢,,,ABCD
1,推动建设（）的新型国际关系，是党中央立足时代发展潮流和我国根本利益作出的战略选择。,相互尊重,公平正义,合作共赢,共同发展,,,ABC
2,新型国际关系，“新”的涵义有（）。,和平发展,相互尊重,公平正义,合作共赢,,,BCD
3,中国始终把坚决维护（）作为外交工作的基本出发点和落脚点。,国家主权,安全,发展利益,对外利益,,,ABC
4,推动建立新型国际关系，要按照（）的外交工作布局，发展与各国的友好关系。,大国是关键,周边是首要,发展中国家是基础,多边是舞台,,,ABCD
5,中国秉持（）的全球治理观。,共商,共建,共享,和谐,,,ABC
6,构建人类命运共同体思想，其核心就是建设持久和平、（）的世界,普遍安全,共同繁荣,开放包容,清洁美丽,,,ABCD
7,共建“一带一路”应秉持（）的理念。,和平合作,开放包容,互学互鉴,互利共赢,,,ABCD
8,世界多极化是一个（）过程。,长期的,曲折的,快速的,不可避免的,,,AB
9,经济全球化是一把“双刃剑”，其带来的负面影响有（）。,加剧国际竞争,增加国际风险,冲击国家主权,冲击发展中国家的民族工业,,,ABCD
10,中国实行独立自主的和平外交政策，反对任何国家损害我国的（）。,独立,主权,安全,尊严,,,ABCD
11,在新形势下，各国应树立（）的新安全观。,共同,综合,合作,可持续,,,ABCD
12,改革开放以来，我党发生了新的重大变化，其中包括：,党所处的地位,党所处的环境,党所肩负的历史任务,党的自身状况,,,ABCD
13,尽管共产党的干部队伍总体是好的，但在一些党员和干部中，还存在着不同程度的如下现象。,思想僵化,信念动摇,道德滑坡,组织涣散,,,ABCD
14,我们党必须解决好的两大历史性课题是：,进一步提高领导水平和执政水平,进一步提高组织协调能力,进一步提高拒腐防变和抵御风险的能力,进一步提高社会治理的能力,,,AC
15,在革命、建设、改革的各个历史时期，我们党总是代表：,代表中国先进生产力的发展要求,代表中国先进文化的前进方向,代表社会主义核心价值观的发展方向,代表中国最广大人民的根本利益,,,ABD
16,党的十四届四中全会通过了《中共中央关于加强党的建设几个重大问题的决定》，分析了党的建设面临的形势，指出：“党必须善于在改革开放的新形势下:,认识自己,改变自己,加强自己,提高自己,,,ACD
17,二零零零年五月十四日，江泽民在江苏、浙江、上海党建工作座谈会上，明确提出：“推进党的（）建设，都应贯穿‘三个代表’要求。要把‘三个代表’的要求贯彻落实到党的全部工作中去”。,思想建设,政治建设,组织建设,作风建设,,,ABCD
18,二零零零年六月二十八日，江泽民在中央思想政治工作会议上，提出了“四个如何认识”，实际上深刻揭示了“三个代表”重要思想产生的历史起点和逻辑起点，反映了“三个代表”重要思想提出的时代背景和发展的现实依据。,如何认识社会主义发展的历史进程,如何认识资本主义发展的历史进程,如何认识我国社会主义改革实践过程对人们思想的影响,如何认识当今的国际环境和国际斗争带来的影响,,,ABCD
19,推动我国先进生产力发展和社会全面进步的根本力量的是：,农民,工人,知识分子,新社会阶层,,,ABC
20,我们党代表中国先进生产力发展要求必须履行的重要职责是：,大力推动科技进步和创新,不断用先进科技改造和提高国民经济,不断地提升科技水平和创新模式,努力实现我国生产力发展的跨越,,,ABD
21,发展社会主义先进文化，就是发展面向现代化、面向世界、面向未来的，民族的科学的大众的社会主义文化。江泽民指出，加强文化建设，必须要：,以科学的理论武装人,以正确的舆论引导人,以高尚的精神塑造人,以优秀的作品鼓舞人,,,ABCD
22,引导人们树立中国特色社会主义共同理想，树立正确的世界观、人生观和价值观，建立（）社会主义思想道德体系,与社会主义市场经济相适应,与先进文化思想相结合,与社会主义法律规范相协调,与中华民族传统美德相承接,,,ACD
23,政治问题主要是对人民群众的态度问题、同人民群众的关系问题。()我们党就能获得取之不尽的力量源泉。,一切为了群众,一切相信群众,一切依靠群众,一切支持群众,,,ABC
24,最大多数人的利益是最紧要和最具有决定性的因素，这始终关系（）,人民根本利益的全局,党的执政的全局,国家经济政治文化发展的全局,全国各族人民的团结和社会安定的全局,,,BCD
25,改革越深入，越要正确认识和处理各种利益关系，把()正确地统一和结合起来。只有这样，我们的改革和建设才能始终获得最广泛最可靠的群众基础和力量源泉。,个人利益与集体利益,局部利益与整体利益,当前利益与长远利益,人民利益与社会利益,,,ABC
26,江泽民强调，我们想事情，做工作，想得对不对，做得好不好，根本的衡量尺度，就是(),人民拥护不拥护,人民赞成不赞成,人民高兴不高兴,人民答应不答应,,,ABCD
27,在党的十六大报告中，江泽民把社会主义（）一起确立为社会主义现代化全面发展的基本目标，从而使中国特色社会主义的理论和实践进一步走向成熟和完善。,物质文明,精神文明,政治文明,生态文明,,,ABC
28,发展社会主义民主政治，就是要健全民主制度，丰富民主形式，扩大公民有序的政治参与，保证人民依法实行（），享有广泛的权利和自由。,民主选举,民主决策,民主管理,民主监督,,,ABCD
29,"建设民主政治必须把广大人民群众的积极性和主动性充分调动起来,坚持()，民族区域自治，进一步扩大基层民主。",中国共产党领导的人民代表大会制度,人民代表大会制度,中国共产党领导的多党合作,政治协商制度,,,BCD
30,江泽民在党的十五大报告中明确指出：“依法治国，就是广大人民群众在党的领导下，依照宪法和法律规定，通过各种途径和形式（），保证国家各项工作都依法进行，逐步实现社会主义民主的制度化、法律化,管理国家事务,管理经济文化事业,管理政治事务,管理社会事务,,,ABD
31,江泽民紧紧围绕建设什么样的党、怎样建设党，进行了长期深入的思考。要使党充满（），推进党的建设伟大工程。,凝聚力,战斗力,执行力,创造力,,,ABD
